Table 13,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,
"per Bias Motivation and Quarter
by State and Agency, 2011",,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,Number of incidents per quarter1,,,,Population2
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,Cities,,75,26,32,18,0,,,,,
,,Alamosa,0,1,1,0,0,0,0,2,0,"8,933"
,,Aspen3,0,0,3,0,0,0,2,0,1,"6,774"
,,Aurora,3,0,1,0,0,1,0,2,1,"330,740"
,,Basalt,1,0,0,0,0,0,0,1,0,"3,924"
,,Boulder,1,1,0,0,0,0,1,1,0,"99,081"
,,Breckenridge,2,0,0,0,0,1,0,0,1,"4,619"
,,Broomfield,0,1,0,0,0,1,0,0,0,"56,862"
,,Buena Vista,0,0,1,0,0,0,0,1,0,"2,663"
,,Canon City,0,0,1,0,0,0,0,1,0,"16,686"
,,Centennial,4,2,1,0,0,2,1,4,0,"102,125"
,,Colorado Springs,4,5,1,0,0,4,4,1,1,"423,680"
,,Craig,2,0,0,0,0,0,1,1,0,"9,629"
,,Denver,8,3,12,2,0,3,8,13,1,"610,612"
,,Durango,3,0,3,3,0,0,4,4,1,"17,181"
,,Englewood,1,1,0,0,0,0,1,0,1,"30,782"
,,Estes Park,1,0,0,0,0,0,1,0,0,"5,960"
,,Fort Collins,3,1,1,1,0,0,2,1,3,"146,494"
,,Fort Lupton,0,0,0,1,0,0,0,1,0,"7,505"
,,Fort Morgan,1,0,0,0,0,0,1,0,0,"11,512"
,,Frisco,0,0,1,0,0,1,0,0,0,"2,730"
,,Glenwood Springs,0,0,0,1,0,0,0,1,0,"9,781"
,,Golden,0,0,0,1,0,0,1,0,0,"19,196"
,,Grand Junction,1,2,1,0,0,2,0,1,1,"59,586"
,,Greeley,5,1,0,4,0,2,4,4,0,"94,507"
,,Lafayette,1,0,0,0,0,,,1,,"24,879"
,,La Junta,0,0,1,0,0,0,1,0,0,"7,200"
,,Lakewood,2,0,0,1,0,0,0,3,0,"145,470"
,,Littleton,8,0,1,0,0,0,8,0,1,"42,464"
,,Lone Tree,7,1,0,0,0,5,2,1,0,"10,396"
,,Longmont,3,0,0,0,0,0,2,1,0,"87,773"
,,Loveland,1,0,0,0,0,,1,,,"68,024"
,,Mancos,0,0,1,0,0,1,0,0,0,"1,359"
,,Montrose,0,0,0,1,0,0,0,1,0,"19,465"
,,Monument,1,1,0,0,0,2,0,0,0,"5,626"
,,Northglenn,1,0,0,0,0,0,0,1,0,"36,412"
,,Palmer Lake,1,0,0,0,0,0,0,0,1,"2,462"
,,Parachute,1,0,0,0,0,0,0,1,0,"1,104"
,,Parker,1,0,0,0,0,1,0,0,0,"46,086"
,,Pueblo,4,0,2,2,0,2,2,4,0,"108,452"
,,Steamboat Springs,1,5,0,1,0,1,1,0,5,"12,299"
,,Sterling,1,0,0,0,0,0,0,0,1,"15,034"
,,Thornton,1,1,0,0,0,0,1,0,1,"120,841"
,,Wheat Ridge,1,0,0,0,0,0,0,1,0,"30,691"
